Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
HSX.L,Financials,Insurance,Hiscox Ltd,12.5295489597937,7.59500085067533,1.55338884629401,1.34535806205733,22.7745099711306,17.7445345006,0.49148,13.53817,0.06639192283138184,0.5011623756854462,0.14000480940939763,,8.83281752895374,,57.652685156262756,,1.1519731753583173,1.0626340731315405,29.16591210320591
SCOR.PA,Financials,Insurance,Scor SE,6.59046777437996,0.000569782918392,1.0706371159741,0.329669052227771,3.37488901030433,2.3598820059,1.96058,15.43408,0.015293933979112495,2.422560205083367,,21.4654252985,5.53100739924401,,44.750243340680015,,1.0920193700687417,1.0480514430554755,22.41312052567095
MWDP.PA,Financials,Financial Services,Wendel SE,19.9264661563498,,1.1247448911202,0.441286817567892,10.1055299647938,12.0617597817,5.0687,9.59825,0.08552677030371969,3.0439156229622277,0.6790467733483408,35.4760839822,6.77760934620174,,32.97988700675636,,0.9076239308707794,1.005875225750406,37.68600461620758
UPM.HE,Materials,Materials,UPM-Kymmene Oyj,17.8564834986301,1.14262514750866,1.20536401943537,1.25116670279635,17.7074314797815,11.2196537383,1.31901,6.5244,-0.04632576393766352,1.2584000337774504,0.6145302779868699,16.7085172824,10.7872940252778,,54.51790068136613,,0.9417120152363372,0.9860434611882064,13.429373919030189
BBVA.MC,Financials,Banks,Banco Bilbao Vizcaya Argentaria SA,9.26150190881515,1.03952127457978,1.55094157411878,1.55696347342047,,54.1086067767,0.83138,17.15046,0.0893139799020819,,,20.8312680605,,12.88,74.63735830466217,,1.3345578070573212,1.0731926186129985,39.356911986267875
EDP.LS,Utilities,Utilities,EDP SA,12.407507063097,0.37706721205397,1.22045628986581,0.998403559520544,107.127504458862,13.0548715127,0.2046,9.94477,-0.08857804343435238,0.31454712266477336,2.713867562017015,52.7934788928,8.47312166063552,,39.18791879631035,,1.0945590719288087,1.0756885708089354,25.162443484071428
INVEb.ST,Financials,Financial Services,Investor AB,23.2887808829486,5.01492579678802,-7.79132791327913,11.0326920417172,,31.3447481978,5.58008,4.578,-0.025746979709613926,,,6.7558403053,46.8042950453708,,53.175907389021255,,0.9729924962278609,1.007330263767179,15.663623567531328
SJP.L,Financials,Financial Services,St James's Place PLC,16.6926893847198,14.5478483172832,4.77728050241275,0.408294369745309,24.9872858012824,3.9632310946,0.18,35.13617,nan,0.6282779284419266,0.05168838421549112,5.4352313766,17.9882604681674,,64.70850144392796,,1.2994249994931848,1.1424268146817107,33.553213905938584
AHT.L,Industrials,Capital Goods,Ashtead Group PLC,17.593325491898,2.15375637534688,4.44140818129439,2.64804156120083,20.1442730338348,28.0067088596,1.06401,21.37618,0.04582241767730122,1.1920887758560144,1.094111755123173,31.0606085092,7.59906961368824,,66.3941842823327,,1.063622829597138,1.1229028834646737,26.12006039274165
ANTO.L,Materials,Materials,Antofagasta PLC,29.6161992769385,0.851492386539666,2.74216527488485,4.08385063983195,,-31.818731666,0.3846,8.41933,0.09832988438787749,-1.052963364359254,3.88689992585502,4.3124118584,7.13417033086895,,68.2011383564859,,1.1796948291841058,1.0943231879930988,17.988294634507145
