Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
DTGGe.DE,Industrials,Capital Goods,Daimler Truck Holding AG,1.0081524845301304,0.5420707187470366,0.01810398428298529,0.8827539789677777,-0.009913106824717723,-0.40168966018078817,-0.3692964700991126,-0.26596515578038615,-0.7448224730564729,-0.5901848547113887,-0.3925673065025069,-1.7963927929087342,-0.5199903624666986,,-0.30040724683622916,,-0.22446011790800896,0.3400468941478592,-0.9326761851836368
LDOF.MI,Industrials,Capital Goods,Leonardo SpA,-0.12355064804151672,0.5582095555530207,-0.032728870712609416,0.49366758807128813,-0.1053099049299424,-0.7502595341633554,-0.6991694636773441,-0.2973123847208647,0.49939049068323094,-0.10386955531300095,-0.7237663365786138,0.23298150309287194,-0.02238030150385718,,-0.7595358075904561,,0.5104373758478848,-0.6501547684134302,-1.0702613535903152
ALFA.ST,Industrials,Capital Goods,Alfa Laval AB,0.3420928132163765,0.2340992618482189,-0.066970374438178,-0.08816653090572148,-0.13556162017448276,0.6147122078823049,1.8175806849247473,-0.1077865008635229,0.6595747834001194,-0.6413465203706424,0.4740881370280485,0.935600863141035,-0.09676261612934842,,-0.2572956202336602,,-0.9174043926595575,-0.3834640436910713,-1.1115541636085178
KNEBV.HE,Industrials,Capital Goods,Kone Oyj,-0.23328310101987587,-0.02771922329081764,-0.27105941437980247,0.11849614171891748,0.4673987708259447,-0.023191879404356103,-0.3329244327706437,0.3052234616212385,-0.5573877514374626,0.39898415210444443,0.6901710584397666,,0.11176840284998986,,-1.222352702561574,,-0.5060485891946829,-0.6139603703522448,-1.5221648855682566
DKSH.S,Industrials,Capital Goods,DKSH Holding AG,0.6351572013441052,0.4345901341996226,-0.0024685033319551963,1.035723042194055,0.6728443472217558,-1.4820030797542258,-0.15099696093095702,-0.2835237644536166,-0.7300626082284101,0.42577009769196444,0.5631793143489168,0.7739349734757197,-0.7903410000960422,,-1.2598492334454574,,-1.326467934179941,-1.4269487016717946,-0.09522560063811382
RAAG.DE,Industrials,Capital Goods,Rational AG,-0.5265694266890356,-1.0276619903582467,-0.21781931306411578,-1.852349639483174,0.055036788747006835,2.5605408615536187,3.484158961562041,0.08538252185246102,0.2574827472855269,0.05419905421937182,0.7702761852124184,,0.9143569050928341,,-1.40631765662026,,-1.7218290219585706,-1.291015428849985,-0.40328829273068445
GF.S,Industrials,Capital Goods,Georg Fischer AG,0.30625746702990136,0.4697779930400658,-0.8292767117985134,0.4797371235759347,0.4008489967336005,-0.5281498348187594,-0.44331896350555094,2.5888923870584235,-0.7193350769086471,0.5476386089581656,-0.07478625873005293,-0.8265001194604303,0.007034414789584393,,0.34847263604603057,,-0.584552795551782,-0.5732080556196947,-0.41856271803108713
NEXS.PA,Industrials,Capital Goods,Nexans SA,0.5691340813815271,0.2734425821860095,-0.03263821400966809,0.8718319317973433,0.529222423472481,-0.8852160416817206,0.11439048460324323,-0.10482973969254396,-0.833338475663757,-0.031417758483859685,-1.0226296589977677,0.13190392704703754,-0.9254289356727899,,1.9645593406738404,,1.3657071886605985,1.7045661998821195,2.571304482832982
SAABb.ST,Industrials,Capital Goods,Saab AB,-2.094579041736416,0.24752755710820107,-0.17523286921102657,-0.7373743449741648,-6.675743134469872,-0.5144949694924079,-0.02022671717483326,-0.2223547282329454,2.2742765258901936,-1.3319504174938073,-0.7382001842964533,,2.036322940519911,,-0.6033769270228589,,1.8025759924177343,0.8062019403797228,-0.3257920183183944
BAES.L,Industrials,Capital Goods,BAE Systems PLC,0.01621748514020696,0.08020064045365807,-0.08211883590541154,0.24330327778739552,-0.2064761159547372,-0.43015633933468655,-0.7590148782404934,-0.13213689743348586,1.0569617442343118,-0.37312200708947413,0.09347298707256366,-0.1004982958614379,0.12861741097601642,,-1.5175191283913492,,0.12869470550604675,-0.3759739047148457,0.12675182431902124
